id,item_id,date,quantity,cost (CLP)_x,delivery_date,lead_time,description,description_2,group_description,unit_sale_price (CLP),cost (CLP)_y,storage_cost (CLP),stock,size_m3,cost_per_purchase
356,1272,2020-02-10,2,68952.0,2020-03-01,20,brit care duck endurance 12 kg,adultos,alimento,50900.0,34476.0,154.0,2.0,0.015,1800.0
361,279,2020-02-10,4,58389.33333333335,2020-02-28,18,bravery light iberian pork mini adult small breeds 2 kg,adultos,alimento,16990.0,12512.0,52.0,1.0,0.015,2650.0
362,648,2020-02-10,20,363200.0,2020-02-28,18,monge mini adult chicken de 3 kg,adultos,alimento,25990.0,18160.0,78.0,4.0,0.015,1700.0
385,1734,2020-02-17,27,40122.0,2020-03-10,22,bravery atún y vegetales alimento húmedo,humedo,alimento,1990.0,1486.0,6.0,8.0,0.015,4050.0
411,1678,2020-02-24,1,63325.0,2020-03-19,24,royal can. urinary canine 10 kg.,medicados,alimento,93370.0,63325.0,282.0,0.0,0.015,1850.0
506,1621,2020-03-02,12,217440.0,2020-03-23,21,brit care puppy l&r 3 kg,cachorros,alimento,23900.0,18120.0,72.0,0.0,0.015,1800.0
642,709,2020-03-02,2,96322.0,2020-03-23,21,bravery salmon adult large/medium breed 12 kg,adultos,alimento,60990.0,48161.0,183.0,4.0,0.015,5300.0
729,1476,2020-03-23,10,348719.25,2020-04-17,25,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
736,1621,2020-03-23,2,36240.0,2020-04-12,20,brit care puppy l&r 3 kg,cachorros,alimento,23900.0,18120.0,72.0,0.0,0.015,1800.0
755,485,2020-03-30,20,1224180.0,2020-05-04,35,royal can. hepatic canine 10 kg.,medicados,alimento,91930.0,61209.0,277.0,0.0,0.015,500.0
758,629,2020-03-30,8,478272.5333333331,2020-04-19,20,eukanuba adulto large breed 15 kg,adultos,alimento,82410.0,58804.0,249.0,3.0,0.015,3400.0
984,709,2020-04-06,8,409368.5,2020-04-25,19,bravery salmon adult large/medium breed 12 kg,adultos,alimento,60990.0,48161.0,183.0,4.0,0.015,5300.0
1027,279,2020-04-13,4,50048.0,2020-05-02,19,bravery light iberian pork mini adult small breeds 2 kg,adultos,alimento,16990.0,12512.0,52.0,1.0,0.015,2650.0
1037,1476,2020-04-20,13,449280.1499999999,2020-05-11,21,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
1051,1734,2020-04-20,7,10402.0,2020-05-08,18,bravery atún y vegetales alimento húmedo,humedo,alimento,1990.0,1486.0,6.0,8.0,0.015,4050.0
1173,629,2020-05-04,3,229615.61904761885,2020-05-25,21,eukanuba adulto large breed 15 kg,adultos,alimento,82410.0,58804.0,249.0,3.0,0.015,3400.0
1375,1272,2020-05-11,1,34476.0,2020-05-29,18,brit care duck endurance 12 kg,adultos,alimento,50900.0,34476.0,154.0,2.0,0.015,1800.0
1426,1476,2020-05-25,2,86503.99999999993,2020-06-14,20,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
1428,596,2020-05-25,1,106512.0000000001,2020-06-23,29,royal canin maxi adulto 15 kg,adultos,alimento,85410.0,66570.0,257.0,3.0,0.015,3000.0
1541,629,2020-06-01,6,355274.16666666674,2020-06-30,29,eukanuba adulto large breed 15 kg,adultos,alimento,82410.0,58804.0,249.0,3.0,0.015,3400.0
1745,534,2020-06-15,10,45802.66666666667,2020-07-03,18,belcando búfalo de agua 400 gr,humedo,alimento,5590.0,4294.0,18.0,0.0,0.015,650.0
1748,1476,2020-06-15,6,194634.0,2020-07-07,22,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
1778,1510,2020-06-22,21,790797.0,2020-07-10,18,bravery salmon adult cat 7 kg,adultos,alimento,47990.0,37657.0,145.0,1.0,0.015,1050.0
1792,709,2020-06-22,9,457529.5,2020-07-13,21,bravery salmon adult large/medium breed 12 kg,adultos,alimento,60990.0,48161.0,183.0,4.0,0.015,5300.0
2037,1698,2020-07-06,14,811986.0,2020-07-24,18,brit care sensitive venison & potato 12 kg,adultos,alimento,74990.0,57999.0,226.0,0.0,0.015,2550.0
2058,1225,2020-07-13,4,112680.0,2020-08-06,24,bravery light iberian pork mini adult small breeds 7 kg,weight control,alimento,43320.0,28170.0,131.0,0.0,0.015,4350.0
2061,1476,2020-07-13,11,356829.0,2020-08-08,26,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
2079,1678,2020-07-13,1,63325.0,2020-08-07,25,royal can. urinary canine 10 kg.,medicados,alimento,93370.0,63325.0,282.0,0.0,0.015,1850.0
2116,629,2020-07-27,14,858538.3999999999,2020-08-24,28,eukanuba adulto large breed 15 kg,adultos,alimento,82410.0,58804.0,249.0,3.0,0.015,3400.0
2434,1678,2020-08-10,58,3672850.0,2020-09-03,24,royal can. urinary canine 10 kg.,medicados,alimento,93370.0,63325.0,282.0,0.0,0.015,1850.0
2446,1734,2020-08-17,9,14562.799999999996,2020-09-04,18,bravery atún y vegetales alimento húmedo,humedo,alimento,1990.0,1486.0,6.0,8.0,0.015,4050.0
2456,709,2020-08-17,2,96322.0,2020-09-04,18,bravery salmon adult large/medium breed 12 kg,adultos,alimento,60990.0,48161.0,183.0,4.0,0.015,5300.0
2468,1476,2020-08-24,5,171926.7,2020-09-17,24,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
2474,1621,2020-08-24,6,108720.0,2020-09-11,18,brit care puppy l&r 3 kg,cachorros,alimento,23900.0,18120.0,72.0,0.0,0.015,1800.0
2489,1698,2020-08-24,5,289995.0,2020-09-17,24,brit care sensitive venison & potato 12 kg,adultos,alimento,74990.0,57999.0,226.0,0.0,0.015,2550.0
2804,171,2020-09-14,3,71115.0,2020-10-04,20,pro plan puppy optistart small breed 7.5 kg.,cachorros,alimento,32900.0,23705.0,100.0,1.0,0.015,4150.0
2827,999,2020-09-21,7,260313.9999999999,2020-10-09,18,proplan puppy optis. large br. 15 kg.,cachorros,alimento,49900.0,33954.0,150.0,4.0,0.015,4200.0
2828,629,2020-09-21,7,427309.0666666666,2020-10-26,35,eukanuba adulto large breed 15 kg,adultos,alimento,82410.0,58804.0,249.0,3.0,0.015,3400.0
