item_id,description,description_2,group_description,date,quantity,unit_sale_price (CLP),total (CLP),client_id
1821,mebermic,antiparasitarios,medicamento,2022-02-28,1,2990.0,2990.0,5126.0
1821,mebermic,antiparasitarios,medicamento,2022-03-03,1,2990.0,2990.0,1540.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-02-06,1,62990.0,62990.0,2673.0
1851,orijen alimento natural seco para gato 5kg,adultos,alimento,2022-09-02,1,68990.0,68990.0,1746.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-10-01,1,54990.0,54990.0,3378.0
443,bravery chicken mini adult small breeds 7 kg,adultos,alimento,2022-07-24,1,35990.0,35990.0,635.0
1799,proplan adulto cat alimento para gato,adultos,alimento,2022-01-09,1,44990.0,44990.0,3010.0
1831,squeaky bounce ball large,juguetes,accesorio,2022-12-15,1,25990.0,25990.0,767.0
629,eukanuba adulto large breed 15 kg,adultos,alimento,2022-01-10,3,82410.0,247230.0,4434.0
629,eukanuba adulto large breed 15 kg,adultos,alimento,2022-10-11,2,82410.0,164820.0,3857.0
808,brit care gf adult salmon 12 kg,adultos,alimento,2022-05-07,2,62990.0,125980.0,4895.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-11-12,1,56990.0,56990.0,474.0
240,zeus fuente mini 1,,,2022-09-30,1,37990.0,37990.0,2296.0
1388,pawise bolsas repuesto 8x20 colores,higiene,accesorios,2022-08-31,1,6790.0,6790.0,4651.0
1827,hueso masticable con textura,juguetes,accesorio,2022-09-12,1,17990.0,17990.0,1568.0
1823,siguimarina,suplementos,medicamento,2022-12-19,1,20990.0,20990.0,1907.0
1857,transportadora rígida para perro chico,hogar-transporte,accesorio,2022-01-22,1,44990.0,44990.0,1429.0
1812,kong wobbler cat small,juguetes,accesorio,2022-09-12,1,18990.0,18990.0,2648.0
1797,little jacs snack,snack,alimento,2022-06-30,1,5990.0,5990.0,2800.0
41,brit care adult small breed l&r 7,,,2022-05-14,2,45290.0,90580.0,5047.0
1788,royal canin adulto mini adult 7,,,2022-07-29,1,42990.0,42990.0,3316.0
1791,belcando búfalo de agua 400 gr,humedo,alimento,2022-07-19,1,5590.0,5590.0,4205.0
1405,coastal sublime collar teal stripe s/m,paseo,accesorios,2022-09-30,1,12490.0,12490.0,4736.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-07-04,1,56990.0,56990.0,
1811,superpet gato omega,suplementos,medicamento,2022-08-21,1,7990.0,7990.0,2466.0
1786,nath adulto maxi sabor pollo y arroz integral,adultos,alimento,2022-09-30,1,19990.0,19990.0,1117.0
1795,wanpy soft duck jerky stripos,snack,alimento,2022-08-31,1,4990.0,4990.0,2800.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2022-11-18,1,8990.0,8990.0,2478.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2022-12-24,1,44990.0,44990.0,3410.0
1720,monge mini adult chicken 7,,,2022-05-26,1,46660.0,46660.0,1597.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2022-07-02,1,8990.0,8990.0,1320.0
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-12-02,3,62990.0,188970.0,576.0
1832,alfombrilla de entrenamiento de cesped,higiene,accesorio,2022-08-08,2,49990.0,99980.0,4894.0
1318,proplan veterinarydiets cnne nc 6x2kg ar,adultos,alimento,2022-04-22,2,28990.0,57980.0,3961.0
561,wanpy soft duck jerky stripos,snack,alimento,2022-08-18,2,4990.0,9980.0,2716.0
757,coastal style collar tropical flower l,paseo,accesorios,2022-01-31,1,10490.0,10490.0,5195.0
429,little jacs snack,snack,alimento,2022-04-27,1,5990.0,5990.0,4111.0
1848,juguete limpieza dental ball,juguetes,accesorio,2022-10-13,2,6990.0,13980.0,1783.0
1800,bravery chicken adult cat,adultos,alimento,2022-05-09,1,35990.0,35990.0,1595.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-12-05,1,24990.0,24990.0,
1433,royal canin maxi junior 15 kgr,adultos,alimento,2022-11-10,1,89240.0,89240.0,2672.0
544,coastal maslow plato cobre martillado 2188 ml,paseo,accesorios,2022-02-28,1,15990.0,15990.0,2720.0
1869,fish sticks,adultos,alimento,2022-04-30,1,1550.0,1550.0,1296.0
1788,royal canin adulto mini adult 7,,,2022-01-04,1,42990.0,42990.0,
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-12-14,1,62990.0,62990.0,1849.0
1813,caña con pompones,juguetes,accesorio,2022-01-11,1,3990.0,3990.0,1795.0
1090,power gato de 4-8 kg,ant. ext.,medicamentos,2022-01-31,1,10790.0,10790.0,4757.0
930,acana wild atlantic gato 1,,,2022-01-07,1,26490.0,26490.0,1758.0
1253,monge urinary  chicken de 1,,,2022-03-18,1,17990.0,17990.0,4296.0
1005,bravery chicken adult large/medium breeds 12 kg,adultos,alimento,2022-10-22,1,54990.0,54990.0,3951.0
